series,sentence,target_word
111,The famous biologist gave an interesting lecture about a very old tree.,tree
112,I kept my promise and took my neighbors' children to feed the many ducks in the park.,park
121,"The director was very popular, until the employees heard about his affair.",affair
122,"The weatherman expected a beautiful day, that's why the rain came as a surprise.",surprise
123,"His lecture was very hard to understand, because he always referred to the context.",context
131,"Her sweet old grandmother was very happy, when she received this beautiful picture.",picture
132,"After ten years, the scientists found a new medicine to stop this terrible pain.",pain
124,"Yesterday's defeat was a big disappointment, but the trainer still has much support.",support
133,The Minister of Foreign Affairs tried to stress the importance of a unity.,unity
141,"Her boss told her, she couldn't have a day off without giving a very good reason.",reason
142,The prime minister looked very cheerful during the opening of the new factory.,factory
143,This guy is a stubborn mule and for him it's impossible to accept an excuse.,excuse
144,It's unbelievable what she can do with only a paper and a pencil.,pencil
145,"These children grew up with a mother, who was suffering from a severe illness.",illness
151,The French tourists had to choose between traveling to England by train or by boat.,boat
152,It was an important match and the keeper decided to play despite his wound.,wound
153,"He wanted to visit the girl on Saturday, but he couldn't remember her address.",address
154,"While the teacher had a conversation with a colleague, he still thought about the student.",student
155,She was terribly ill and that's why they made an appointment with the doctor.,doctor
156,His parents couldn't understand why he wanted a tattoo on his right shoulder.,shoulder
211,"Last month, our company had a recession, but for this month, we expect an increase.",increase
212,This was a very impressive show and now we know the origins of this summers' fashion.,fashion
213,"Because she had fallen in love with him, she couldn't stop thinking of his charming smile.",smile
214,"On Saturday, he always bought the newspaper, because he wanted to read the sport page.",page
215,Sometimes the woman had to think a long time before coming to a good decision.,decision
221,"After many years of preparation, his dream came true and he opened a shop.",shop
222,In the magazine a doctor wrote that most of his patients eat too much sugar.,sugar
231,"When the police found the car, they immediately informed the original owner.",owner
232,The politicians knew that one of the biggest problems in society was fear.,fear
233,The only way to prepare these athletes is by giving them a varied training.,training
234,"Grandma was angry with me, because I didn't return the sugar bowl to the cupboard.",cupboard
241,After lots of practice the teacher told the parents that Jim is a good reader.,reader
242,"The girl fell off her bike, but fortunately she didn't sustain a bad injury.",injury
243,"I was bored at the party, until they asked me to give my opinion about a dance.",dance
244,The organizers of the workshop were very pleased to present this special guest.,guest
245,"She was very excited, because in a few days, she would make her first foreign trip.",trip
246,This is a new television program in which people are looking for their parents.,parents
251,Most people listened to the interviews of the BBC with the British officer.,officer
252,Dennis Bergkamp never traveled to England by plane since he preferred to take the train.,train
253,"He was a dangerous guy, because no one could stop his pathological desire.",desire
311,Her mother didn't know how to decide and so she wanted a word with her husband.,husband
312,"He suddenly gave everyone in the cafe a drink, which left me in wonder.",wonder
313,"The guinea pig was fond of all sorts of plants, but not this exotic flower.",flower
314,This biologist looked in his microscope so often that he had problems with his eyes.,eyes
315,The famous baker worked hard the whole day to finish the cake for tomorrows' wedding.,wedding
316,This man had collected so many books and magazines that he opened a library.,library
321,The parents told their daughter many times how to politely ask for a seat.,seat
322,"There were many people at the company, when they remembered last years' mine accident.",accident
323,The queen visited Northern Ireland and in her speech she stressed the importance of peace.,peace
331,"Yesterday, the police arrested these guys, and in their house they indeed found drugs.",drugs
332,She took a very long walk and she was very happy when she finally saw her hotel.,hotel
333,"Sometimes, you really can't understand why certain people are a married couple.",couple
334,"After 20 years, his father told Ben that from now on he would be the new chairman.",chairman
335,"The economist said, the major cause of the depression was decreasing exports.",exports
341,"After the agreement was made, the journalists asked the minister for his reaction.",reaction
342,"After a few hours, it became clear that the earthquake in Turkey was a real disaster.",disaster
343,Tom Foster wrote a book about the historical events of the last century.,century
344,"Because he didn't have technical knowledge, he asked his father to do the repair.",repair
351,"The nurse wanted to do more than her job, so she took a course on therapeutic touch.",touch
352,The attack of the Israelis on the Palestinians puts peace in great danger.,danger
411,"While the psychologist made another appointment, he knew this had been a good session.",session
412,The chairman of Greenpeace informed the journalists of the actions against the industry.,industry
413,"Because the children played in the garden the whole day, they were thirsty and hungry.",hungry
414,It's getting better and better and we expect him to recover from the disease.,disease
421,"This musician was very nervous, when he gave his first appearance in the opera.",opera
422,"My grandfather was tired, for he hadn't been able to sleep because of the noise.",noise
423,"We knew she could write well, but we were completely surprised she was called a poet.",poet
424,"The cousins were very disappointed, when they heard the news about their heritage.",heritage
425,"In the end, the girl found a four-leaf clover and was allowed to take a wish.",wish
426,"When the archaeologists discovered this old body, they classified it as human.",human
432,The weatherman looked at the temperatures of last year and found a very hot summer.,summer
431,"We had a typical English breakfast with tea, bacon, eggs, rolls, and of course, toast.",toast
441,Today the famous painter tried to explain to his five pupils this special technique.,technique
442,"The man had a good reputation, because of his excellent scientific research.",research
443,The communist leader warned his population of the Western illness called wealth.,wealth
451,The director didn't give his employees an explanation for his long absence.,absence
452,"It took a long time, but then the population chose him as their religious leader.",leader
453,"Because he was an expert, he knew immediately that this was an excellent French wine.",wine
454,"Many tourists took a boat trip on the Danube, because it is a beautiful river.",river
455,My uncle was always very excited the day before he went on holiday.,holiday
511,The well known photographer took beautiful photos of supermodels in the snow.,snow
512,"After she saw the commercial last night, she decided to buy that specific soft drink.",drink
513,"At the scientific conference in London, the professor presented his new model.",model
521,"At this school, they taught the teachers a new method of dealing with unwilling pupils.",pupils
522,The managers of the company were thinking about a good staff selection.,selection
523,"If you want to know more about our company, you can take a look at our site.",site
524,"During the Olympic Games, it became clear that swimming was a very popular sport.",sport
525,It's a real disaster that the Russians destroyed a great part of their nature.,nature
531,He was the architect of the family and that's why he designed the garden.,garden
532,This fund always tried to support people with a severe personal handicap.,handicap
533,"The girl, that got pregnant, suddenly stopped working at the bank and found a new function.",function
534,Today the construction workers started the big renovation of the old station.,station
535,"The diplomats tried to convince the government, but they wouldn't release the reporter.",reporter
536,The police officer waited until the suspected person gave him an answer.,answer
541,"In spite of working sixty hours a week, her family had to live in poverty.",poverty
542,"She tried to persuade her neighbor, because she thought he had the wrong idea.",idea
551,The chairman convinced the other members of the group to support this foreign institute.,institute
552,"The ex-trainer was very proud, when he heard the good results of the national team.",team
553,"After having been told so many lies by her daughter, she demanded to hear the truth.",truth
554,"In this program, Sam shared his experience with the audience, he had been a victim.",victim